,song_name,speech_name,motion_type,ir_type,speech_xy,data_point,listener_x,listener_y,listener_azi,snr,locq
63,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",D2,-1,2,50,13.20168408,0.695165798
64,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",D3,-1,2,195,12.42179556,0.701150463
65,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",D4,-1,2,15,12.93911632,0.729465366
66,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",,,,,inf,1
67,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",,,,,0,0.302412291
68,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",D1,1,2,85,14.42239095,0.724825176
69,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",D2,1,2,305,15.89699293,0.745830135
70,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",D3,1,2,200,13.93751486,0.770653472
71,Juliet's Rescue - Heartbeats,clnsp608,rotational,BRIR,"(0, -2)",D4,1,2,20,15.40567116,0.802883778
72,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",,,,,inf,1
73,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",,,,,0,0.293724122
74,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",D1,-1,2,265,14.91938578,0.671922628
75,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",D2,-1,2,50,14.6842537,0.660942915
76,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",D3,-1,2,175,13.30552162,0.671191017
77,Juliet's Rescue - Heartbeats,clnsp362,rotational,BRIR,"(2, 0)",D4,-1,2,355,14.30812176,0.714046473
